PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, 
2266,"Albritton, C.C., Jr.",1937,"Upper Jurassic and Lower Cretaceous ammonites of the Malone Mountains, Trans-Pecos Texas","Bull. of the MCZ,","Bull. of the MCZ,",80,10,393,5,, 
864,"Ruedemann, R.",1930,no article title available,"Am.Jour.Sci.,ser.5,","Am.Jour.Sci.,ser.5,",20,118,308,311,, 
2350,"Hall, J. and Whitfield, R.P.",1877,no article title available,"United States Geol.Explo. Fortieth Parallel. Clarence King, Geologist in charge.",United States Geol.Explo. Fortieth Parallel. Clar,4,2,226,,, 
2373,"Rolfe, W.D.I.",1963,no article title available,Jour.Paleontology,Jour.Paleontology,37,2,486,,, 
3553,"Rolfe, W.D.I.",1969,no article title available,The Treatise on Invertebrate Paleontology pt.R,The Treatise on Invertebrate Paleontology pt.R,,,,,, 
1615,"Meek, F.B.",1873,no article title available,Ohio Geol.Survey,Ohio Geol.Survey,1,,,,, 
4100,"Rogers, W.B. and Rogers, H.B.",1837,no article title available,Am.Philos.Soc.Trans.,Am.Philos.Soc.Trans.,5,14,333,,, 
1876,"Meek, F.B. and A.H. Worthen",1866,no article title available,Illinois Geol.Survey,Illinois Geol.Survey,2,,173,,, 
3976,"Clark, T.H.",1917,New Blastoids and Brachiopods from the Rocky Mountains,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,61,9,377,,, 
1755,"Schweitzer, C.E. and Feldmann, R.M.",2000,no article title available,Contr.Zoology,Contr.Zoology,69,4,6,,, 
1120,"Haugh, B.N.",1975,no article title available,"Jour.Paleontology,","Jour.Paleontology,",49,3,483,,, 
4140,"Flower, R.H.",1968,no article title available,"New Mexico Bur.Mines and Mineral Resources Mem.19,Part I",New Mexico Bur.Mines and Mineral Resources Mem.19,,,8,9,, 
4162,"Parsley, R.L.",1998,no article title available,Vestnik Ceskeho geologickeho ustavu,Vestnik Ceskeho geologickeho ustavu,73,3,258,260,, 
4262,"Newell, F.H.",1888,no article title available,Boston Soc.Nat.Hist.,Boston Soc.Nat.Hist.,23,,484,,, 
1290,"Ulrich, E.O.",1879,no article title available,Cincinnati Soc.Nat.Hist.Jour.,Cincinnati Soc.Nat.Hist.Jour.,2,1,9,,, 
1420,"DeKoninck, L.G.",1851,no article title available,Descr. de Animaux Fossiles...Carbonaire de Belgique,Descr. de Animaux Fossiles...Carbonaire de Belgiq,,,710,1,, 
2667,"Cleaves, A.B. and Fox, E.F.",1935,"Geology of the West End of Ymer Island, East Greenland",Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,46,,473,,, 
